Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,82,0,0,2,6,8,0,0,0,12
Sales management,1739,0,16,14,175,21,1,0,0,126
market/marketing,2508,4,23,10,119,50,0,0,0,136
Sales ,5573,1,66,32,198,12,0,0,0,281
Computer hardware,67,0,1,0,0,0,0,0,0,11
Internet development and application,141,0,0,0,38,4,0,0,0,9
IT-Management,41,0,0,0,20,0,0,0,0,1
"IT-QM, technical support and more",532,0,0,0,21,1,0,0,0,19
Communications technology,1227,0,20,12,0,0,0,0,0,5
Electronics/appliances/semiconductor/instrumentation,141,2,0,0,12,2,0,0,0,11
Finance/auditing/tax,464,0,1,5,143,5,0,0,0,54
Engineering/machinery/energy,914,0,4,24,74,35,0,0,0,40
HR,241,0,8,2,73,11,0,0,0,21
Senior management,12,0,0,0,2,5,0,0,0,4
Logistics/warehousing,1530,18,27,19,34,0,0,0,0,44
Art/graphics/Animation design,384,0,0,8,104,3,0,0,0,18
Science & Technology,13,0,0,0,0,6,0,0,0,0
Legal profession/law,30,0,1,0,0,10,0,0,0,0
Education,378,0,0,0,19,63,0,0,0,0
Hospital/medical/care,44,0,0,0,5,0,0,0,0,4
Counsel/consulting,361,0,1,1,21,17,0,0,1,14
Transportation service,137,4,1,3,2,0,0,0,0,23
Translation,23,0,0,0,0,2,0,0,0,0
Construction/infrastructure/gardening,767,0,0,21,88,15,0,0,0,33
Banking,201,0,1,2,10,1,0,0,0,1
Office administration/logistics,928,1,7,18,182,10,0,0,0,79
Customer service and technical support,1593,0,13,10,78,2,0,0,0,38
Securities/finance/investment,423,0,0,0,61,8,0,0,0,6
Insurance,241,0,0,0,21,4,0,0,0,5
Production/operation,473,4,5,3,29,1,0,0,0,12
QMS/safety/environmental protection,208,0,5,15,21,2,0,0,0,14
Technical work,2202,31,42,33,3,1,0,0,0,123
Fashion/textile/furs,36,4,0,0,0,0,0,0,0,4
Procurement,78,0,0,9,23,1,0,0,0,6
Trade,48,0,0,0,9,13,0,0,0,0
Biology/chemicals/pharmaceuticals/medical equipment,102,0,0,0,10,8,4,0,0,3
Advertising,95,0,0,8,30,3,0,0,0,4
PRs and news media,6,0,0,0,0,0,0,0,0,1
"Movies, TV and recreation",38,0,0,1,16,0,0,0,0,1
Literature/screenwriting/writing,20,0,0,0,10,1,0,0,0,0
Real property,1794,1,10,0,12,1,0,0,0,53
Property management,237,0,7,0,4,0,0,0,0,20
Restaurants & recreation,859,8,3,2,7,0,0,0,0,90
Hotels/tourism,262,2,1,0,4,0,0,0,0,43
Beauty and personal care,259,2,2,8,3,0,0,0,0,6
General merchandise/chains/retail,720,1,33,32,12,0,0,0,0,33
Security/housekeeping/other,455,5,13,0,0,0,0,0,0,17
Graduates,508,0,0,3,21,7,0,0,0,26
Other,1838,14,9,14,63,8,0,0,0,66
