Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,34,0,0,0,4,5,0,0,0,2
Sales management,1343,0,11,13,134,22,0,0,0,117
market/marketing,2136,5,34,18,98,28,1,0,0,119
Sales ,4693,2,55,34,184,10,0,0,0,252
Computer hardware,13,0,0,0,1,0,0,0,0,4
Internet development and application,108,0,0,0,34,2,0,0,0,8
IT-Management,28,0,0,0,12,0,0,0,0,2
"IT-QM, technical support and more",484,0,7,0,15,0,0,0,0,17
Communications technology,12,0,0,1,0,0,0,0,0,1
Electronics/appliances/semiconductor/instrumentation,161,2,0,2,23,1,0,0,0,5
Finance/auditing/tax,227,0,2,6,87,8,0,0,0,34
Engineering/machinery/energy,666,0,2,19,57,19,0,0,0,39
HR,217,0,6,0,69,5,0,0,0,39
Senior management,23,0,0,0,8,2,0,0,0,2
Logistics/warehousing,326,24,40,6,12,0,0,0,0,33
Art/graphics/Animation design,159,0,1,9,35,6,0,0,0,13
Science & Technology,28,0,0,0,0,8,0,0,0,0
Legal profession/law,43,0,0,0,2,7,0,0,0,0
Education,207,0,1,0,19,19,0,0,0,5
Hospital/medical/care,12,0,0,0,4,0,0,0,0,0
Counsel/consulting,405,0,0,0,21,8,0,0,0,23
Transportation service,121,1,3,1,0,0,0,0,0,20
Translation,3,0,0,0,0,1,0,0,0,0
Construction/infrastructure/gardening,1003,0,11,12,117,17,0,0,0,31
Banking,101,0,2,0,7,0,0,0,0,0
Office administration/logistics,943,0,7,25,186,17,0,0,0,91
Customer service and technical support,988,1,8,9,56,0,0,0,0,38
Securities/finance/investment,160,0,0,0,23,0,0,0,0,1
Insurance,176,0,4,0,13,3,0,0,0,5
Production/operation,280,3,7,1,8,0,0,0,0,3
QMS/safety/environmental protection,100,0,6,12,18,0,0,0,0,3
Technical work,2075,31,67,30,5,0,0,0,0,90
Fashion/textile/furs,150,0,0,0,0,0,0,0,0,3
Procurement,51,0,4,12,12,0,0,0,0,4
Trade,24,0,0,0,3,9,0,0,0,1
Biology/chemicals/pharmaceuticals/medical equipment,157,0,0,2,19,2,4,0,0,7
Advertising,81,0,0,9,22,5,0,0,0,3
PRs and news media,4,0,0,0,1,0,0,0,0,2
"Movies, TV and recreation",31,0,0,1,1,0,0,0,0,4
Literature/screenwriting/writing,36,0,0,2,4,1,0,0,0,4
Real property,2577,0,12,6,14,16,0,0,0,68
Property management,269,6,14,0,17,0,0,0,0,27
Restaurants & recreation,2266,44,11,6,14,0,0,0,0,180
Hotels/tourism,151,0,0,0,12,0,0,0,0,43
Beauty and personal care,83,5,1,6,0,0,0,0,0,0
General merchandise/chains/retail,369,7,13,3,12,0,0,0,0,13
Security/housekeeping/other,644,5,36,0,0,0,0,0,0,23
Graduates,424,0,5,0,20,3,0,0,0,17
Other,503,6,8,4,35,2,0,0,0,50
