Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,132,0,2,0,14,15,0,0,0,2
Sales management,1298,1,9,21,94,5,0,0,0,117
market/marketing,2169,2,47,4,111,7,0,0,0,119
Sales ,4572,2,52,45,157,1,0,0,0,240
Computer hardware,40,0,0,4,0,0,0,0,0,0
Internet development and application,50,0,1,1,18,2,0,0,0,8
IT-Management,42,0,0,0,8,0,0,0,0,2
"IT-QM, technical support and more",21,0,1,0,6,0,0,0,0,1
Communications technology,86,0,0,6,3,0,0,0,0,2
Electronics/appliances/semiconductor/instrumentation,432,0,0,25,50,12,0,0,0,7
Finance/auditing/tax,305,0,7,6,84,29,0,0,0,25
Engineering/machinery/energy,354,1,8,15,36,11,0,0,0,18
HR,206,0,5,0,41,7,0,0,0,33
Senior management,17,0,0,0,2,1,0,0,0,4
Logistics/warehousing,451,16,27,4,12,1,0,0,0,96
Art/graphics/Animation design,100,0,1,6,27,1,0,0,0,11
Science & Technology,10,0,0,0,0,2,0,0,0,0
Legal profession/law,3,0,0,0,2,1,0,0,0,0
Education,287,0,4,0,30,17,0,0,0,13
Hospital/medical/care,85,0,0,3,4,4,0,0,0,0
Counsel/consulting,124,0,1,1,10,1,0,0,0,11
Transportation service,675,7,3,1,2,0,0,0,0,41
Construction/infrastructure/gardening,949,0,0,9,115,17,0,0,0,56
Banking,32,0,0,0,3,0,0,0,0,0
Office administration/logistics,516,0,17,14,128,4,0,0,0,35
Customer service and technical support,1001,0,15,13,32,0,0,0,0,38
Securities/finance/investment,168,0,0,0,6,9,0,0,0,2
Insurance,181,0,2,0,22,2,0,0,0,6
Production/operation,687,7,8,7,22,0,0,0,0,17
QMS/safety/environmental protection,122,2,7,4,29,1,0,0,0,1
Technical work,1374,22,22,7,2,0,0,0,0,137
Fashion/textile/furs,100,0,0,0,0,0,0,0,0,5
Procurement,63,0,1,7,10,0,0,0,0,5
Trade,26,1,0,0,5,1,0,0,0,1
Biology/chemicals/pharmaceuticals/medical equipment,161,0,2,4,13,2,4,0,0,4
Advertising,63,0,0,7,15,8,0,0,0,2
PRs and news media,8,0,0,0,2,0,0,0,0,1
"Movies, TV and recreation",2,0,0,0,0,0,0,0,0,1
Literature/screenwriting/writing,20,0,0,0,4,0,0,0,0,10
Real property,1349,0,11,0,41,0,0,0,0,30
Property management,183,0,11,0,6,0,0,0,0,23
Restaurants & recreation,928,11,10,5,6,0,0,0,0,106
Hotels/tourism,149,0,8,0,16,0,0,0,0,29
Beauty and personal care,553,0,0,0,0,0,0,0,0,23
General merchandise/chains/retail,2966,62,27,16,30,0,0,0,0,41
Security/housekeeping/other,230,1,1,0,0,0,0,0,0,56
Graduates,461,0,0,6,17,15,0,0,0,16
Other,667,6,11,5,42,4,0,0,0,63
