Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,127,0,0,1,11,21,2,0,0,2
Sales management,1381,0,9,29,152,20,0,0,0,86
market/marketing,2494,1,51,5,119,19,1,0,0,96
Sales ,3649,1,45,55,153,8,0,0,0,182
Computer hardware,33,0,0,4,1,2,0,0,0,2
Internet development and application,45,0,0,1,22,3,0,0,0,0
IT-Management,54,0,0,0,9,1,0,0,0,8
"IT-QM, technical support and more",82,0,0,0,12,4,0,0,0,0
Communications technology,51,0,0,1,3,0,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,108,2,0,4,22,2,0,0,0,6
Finance/auditing/tax,230,0,3,5,84,17,0,0,0,24
Engineering/machinery/energy,463,0,1,13,44,26,0,0,0,14
HR,151,0,2,0,43,10,0,0,0,22
Senior management,7,0,0,0,0,3,1,0,0,2
Logistics/warehousing,417,14,37,7,15,0,0,0,0,67
Art/graphics/Animation design,166,0,0,7,21,6,0,0,0,12
Science & Technology,32,0,0,0,0,7,1,0,0,0
Legal profession/law,4,0,0,0,0,3,0,0,0,0
Education,560,0,4,0,12,16,1,1,0,4
Hospital/medical/care,35,0,1,0,3,0,0,0,0,5
Counsel/consulting,185,0,1,0,8,1,0,0,0,19
Transportation service,117,6,3,2,1,0,0,0,0,23
Construction/infrastructure/gardening,815,0,0,5,135,24,0,0,0,38
Banking,195,0,2,0,11,0,0,0,0,0
Office administration/logistics,531,2,7,20,130,13,1,0,0,41
Customer service and technical support,1016,4,20,5,39,0,0,0,0,26
Securities/finance/investment,67,0,1,0,4,1,0,0,0,0
Insurance,63,0,6,0,3,0,0,0,0,0
Production/operation,291,1,3,3,22,2,0,0,0,8
QMS/safety/environmental protection,90,1,2,7,21,3,0,0,0,1
Technical work,1099,13,26,15,3,1,0,0,0,108
Fashion/textile/furs,124,0,0,0,0,0,0,0,0,5
Procurement,38,0,0,9,11,3,0,0,0,1
Trade,48,0,1,0,8,7,0,0,0,0
Biology/chemicals/pharmaceuticals/medical equipment,154,0,0,0,8,11,9,0,0,12
Advertising,51,0,1,7,15,3,0,0,0,0
PRs and news media,13,0,1,0,0,1,0,0,0,0
"Movies, TV and recreation",407,0,1,0,8,1,0,0,0,0
Literature/screenwriting/writing,15,0,0,0,3,0,0,0,0,6
Real property,674,0,2,0,11,3,0,0,0,28
Property management,117,0,7,0,11,0,0,0,0,19
Restaurants & recreation,2178,4,9,0,14,0,0,0,0,181
Hotels/tourism,66,7,0,0,7,0,0,0,0,9
Beauty and personal care,141,2,3,0,4,0,0,0,0,3
General merchandise/chains/retail,767,1,7,6,9,0,0,0,0,34
Security/housekeeping/other,152,0,0,0,0,0,0,0,0,41
Graduates,446,0,0,1,18,8,1,1,0,20
Other,1010,4,7,3,42,4,0,0,0,47
