Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,46,0,0,0,7,1,0,0,0,4
Sales management,1052,0,14,4,117,12,0,0,0,77
market/marketing,1401,6,15,12,72,23,0,0,0,68
Sales ,3918,5,43,16,74,2,0,0,0,180
Computer hardware,12,0,0,0,4,0,0,0,0,2
Internet development and application,50,0,0,0,13,6,0,0,0,3
IT-Management,3,0,0,0,3,0,0,0,0,0
"IT-QM, technical support and more",84,0,0,0,12,2,0,0,0,4
Communications technology,66,0,2,0,1,1,0,0,0,8
Electronics/appliances/semiconductor/instrumentation,265,0,1,2,14,5,0,0,0,5
Finance/auditing/tax,282,0,6,8,100,4,0,0,0,42
Engineering/machinery/energy,558,1,2,12,37,22,3,0,0,30
HR,169,0,7,0,48,5,0,0,0,17
Senior management,20,0,0,0,3,4,0,0,0,2
Logistics/warehousing,339,6,11,15,13,0,0,0,0,35
Art/graphics/Animation design,183,0,0,8,50,4,0,0,0,10
Science & Technology,6,0,0,0,0,3,0,0,0,0
Legal profession/law,14,0,0,0,0,7,0,0,0,0
Education,105,0,0,1,6,9,2,0,0,2
Hospital/medical/care,113,0,1,0,2,0,0,0,0,15
Counsel/consulting,366,0,5,1,20,3,0,0,0,12
Transportation service,41,3,1,1,1,0,0,0,0,7
Construction/infrastructure/gardening,538,2,0,14,58,9,0,0,0,36
Banking,189,0,11,3,0,0,0,0,0,1
Office administration/logistics,365,1,16,6,85,13,0,0,0,43
Customer service and technical support,727,0,9,9,44,3,0,0,0,40
Securities/finance/investment,148,0,3,0,25,1,0,0,0,3
Insurance,320,0,8,0,30,2,0,0,0,3
Production/operation,157,2,0,4,15,1,0,0,0,5
QMS/safety/environmental protection,55,0,4,4,8,3,0,0,0,2
Technical work,1550,21,31,8,8,0,0,0,0,73
Fashion/textile/furs,20,0,0,0,2,0,0,0,0,0
Procurement,42,0,0,5,12,1,0,0,0,4
Trade,27,0,1,0,3,3,0,0,0,2
Biology/chemicals/pharmaceuticals/medical equipment,71,0,0,3,11,0,0,0,0,7
Advertising,8,0,0,0,4,0,0,0,0,1
PRs and news media,5,0,0,0,3,1,0,0,0,0
"Movies, TV and recreation",39,0,1,4,2,3,0,0,0,3
Literature/screenwriting/writing,39,0,0,0,14,6,0,0,0,2
Real property,426,0,3,2,5,0,0,0,0,14
Property management,143,0,5,0,4,0,0,0,0,22
Restaurants & recreation,606,4,3,0,11,0,0,0,0,61
Hotels/tourism,239,0,0,0,0,0,0,0,0,30
Beauty and personal care,23,0,1,0,1,0,0,0,0,1
General merchandise/chains/retail,240,1,9,12,3,0,0,0,0,19
Security/housekeeping/other,96,0,1,0,0,0,0,0,0,12
Graduates,334,0,0,3,23,1,0,0,0,15
Other,777,5,11,4,35,10,0,0,0,45
