Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,1,0,0,0,1,0,0,0,0,0
Sales management,328,0,5,3,31,5,0,0,0,9
market/marketing,306,0,0,2,24,0,0,0,0,17
Sales ,767,0,6,0,22,2,0,0,0,36
Internet development and application,6,0,0,0,2,0,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,43,0,0,0,1,7,0,0,0,4
Finance/auditing/tax,56,0,0,0,26,3,0,0,0,2
Engineering/machinery/energy,173,0,1,4,13,8,0,0,0,4
HR,56,0,0,3,22,1,0,0,0,4
Senior management,2,0,0,0,0,2,0,0,0,0
Logistics/warehousing,57,0,4,3,1,0,0,0,0,13
Art/graphics/Animation design,26,0,0,1,4,0,0,0,0,1
Science & Technology,6,0,0,0,0,0,2,0,0,0
Education,56,0,0,0,9,0,0,0,0,0
Hospital/medical/care,62,0,1,0,1,0,0,0,0,2
Transportation service,43,6,0,0,0,0,0,0,0,5
Translation,9,0,0,0,0,3,0,0,0,0
Construction/infrastructure/gardening,117,0,0,6,2,3,0,0,0,9
Banking,30,0,2,0,0,0,0,0,0,0
Office administration/logistics,91,0,4,1,22,2,0,0,0,4
Customer service and technical support,126,0,2,1,14,0,0,0,0,6
Securities/finance/investment,20,0,1,0,0,0,0,0,0,0
Production/operation,56,3,0,0,1,5,0,0,0,3
QMS/safety/environmental protection,43,0,4,2,0,2,0,0,0,2
Technical work,473,5,5,3,0,0,0,0,0,42
Procurement,3,0,0,1,1,0,0,0,0,0
Trade,19,0,0,0,0,2,0,0,0,3
Biology/chemicals/pharmaceuticals/medical equipment,64,0,1,0,3,1,0,0,0,1
PRs and news media,8,0,0,0,2,0,0,0,0,0
Real property,180,0,0,0,0,0,0,0,0,3
Property management,39,0,5,0,3,0,0,0,0,4
Restaurants & recreation,399,0,3,0,0,0,0,0,0,62
Hotels/tourism,42,0,0,1,1,0,0,0,0,8
General merchandise/chains/retail,289,4,13,1,8,0,0,0,0,9
Security/housekeeping/other,73,1,0,0,0,0,0,0,0,3
Graduates,59,0,0,0,6,0,0,0,0,2
Other,168,6,1,4,5,0,0,0,0,11
,,,,,,,,,,
,,,,,,,,,,
