Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,421,0,0,0,21,32,6,0,0,3
Sales management,983,0,7,9,79,20,0,0,0,39
market/marketing,1175,0,9,5,67,50,0,0,0,34
Sales ,2214,4,24,12,90,37,0,0,0,96
Computer hardware,50,0,0,0,0,10,1,0,0,1
Internet development and application,188,0,0,0,10,21,0,1,0,10
IT-Management,12,0,0,0,1,1,1,0,0,0
"IT-QM, technical support and more",118,0,0,0,7,8,0,0,0,3
Communications technology,15,0,0,1,1,3,0,0,0,1
Electronics/appliances/semiconductor/instrumentation,1480,0,3,5,51,83,22,0,0,17
Finance/auditing/tax,428,0,4,0,105,44,1,0,0,20
Engineering/machinery/energy,1921,2,0,18,69,152,10,1,0,25
HR,275,0,6,1,60,36,1,0,0,16
Senior management,25,0,0,0,4,1,1,0,0,0
Logistics/warehousing,224,8,15,10,13,11,0,0,0,24
Art/graphics/Animation design,287,0,0,12,40,8,8,0,0,12
Science & Technology,249,0,0,0,1,9,4,2,0,1
Legal profession/law,37,0,0,0,2,9,2,0,0,9
Education,985,0,0,0,16,28,67,37,0,0
Hospital/medical/care,241,0,2,0,4,22,13,4,0,1
Counsel/consulting,360,0,0,0,29,10,2,0,0,2
Transportation service,129,3,2,0,1,0,0,0,0,18
Translation,38,0,0,0,0,11,0,0,0,0
Construction/infrastructure/gardening,1161,2,1,13,59,31,1,0,0,40
Banking,67,0,1,1,8,0,0,0,0,0
Office administration/logistics,446,0,18,5,93,34,3,0,0,41
Customer service and technical support,589,0,16,5,31,7,0,0,0,13
Securities/finance/investment,65,0,2,0,0,8,1,0,0,2
Insurance,229,0,0,0,23,3,0,0,0,3
Production/operation,401,3,1,0,31,26,2,0,0,19
QMS/safety/environmental protection,310,0,2,1,28,32,0,0,0,8
Technical work,830,11,13,5,15,0,0,0,0,56
Fashion/textile/furs,48,0,0,0,0,5,0,0,0,7
Procurement,69,0,2,1,12,4,3,0,0,2
Trade,194,0,0,0,11,16,0,0,0,4
Biology/chemicals/pharmaceuticals/medical equipment,392,0,0,0,17,35,18,2,0,1
Advertising,21,0,0,0,7,0,0,0,0,2
PRs and news media,7,0,0,0,1,0,0,0,0,1
"Movies, TV and recreation",42,0,2,0,6,3,0,0,0,0
Literature/screenwriting/writing,3,0,0,0,0,1,0,0,0,1
Real property,390,0,1,0,3,2,0,0,0,6
Property management,212,1,8,0,5,0,0,0,0,32
Restaurants & recreation,481,6,17,0,6,0,0,0,0,38
Hotels/tourism,71,2,4,2,5,0,0,0,0,4
Beauty and personal care,260,10,7,0,0,0,0,0,0,0
General merchandise/chains/retail,337,2,10,0,7,2,0,0,0,22
Security/housekeeping/other,132,3,0,0,3,0,0,0,0,5
Graduates,2061,0,0,0,65,69,1,0,0,8
Other,1872,11,4,2,70,58,26,1,0,59
,,,,,,,,,,
