Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,211,0,3,0,29,6,0,0,0,7
Sales management,1048,0,11,4,85,6,0,0,0,78
market/marketing,1183,2,7,11,96,9,0,0,0,54
Sales ,3062,2,36,18,139,2,0,0,0,123
Computer hardware,25,0,1,0,2,2,0,0,0,0
Internet development and application,64,0,2,0,23,1,0,0,0,2
IT-Management,4,0,0,0,3,0,0,0,0,1
"IT-QM, technical support and more",72,0,1,0,13,5,0,0,0,10
Communications technology,6,0,0,0,1,1,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,94,0,2,2,17,11,0,0,0,4
Finance/auditing/tax,351,2,5,7,136,7,0,0,0,31
Engineering/machinery/energy,506,0,0,18,45,28,0,0,0,23
HR,361,0,7,1,78,9,0,0,0,31
Senior management,46,0,4,0,7,15,0,0,0,1
Logistics/warehousing,562,16,19,12,27,2,0,0,0,28
Art/graphics/Animation design,427,0,1,19,67,7,0,0,0,29
Legal profession/law,7,0,0,0,0,2,0,0,0,1
Education,269,0,0,0,11,14,0,0,0,7
Hospital/medical/care,54,0,2,0,5,2,0,0,0,6
Counsel/consulting,519,0,13,0,15,2,0,0,0,3
Transportation service,82,11,0,0,2,0,0,0,0,16
Construction/infrastructure/gardening,1058,0,2,15,75,14,0,0,0,7
Banking,81,0,1,1,9,0,0,0,0,0
Office administration/logistics,548,1,11,8,159,26,0,0,0,66
Customer service and technical support,797,0,26,7,62,4,0,0,0,18
Securities/finance/investment,123,0,1,0,9,10,0,0,0,2
Insurance,74,0,0,0,13,3,0,0,0,1
Production/operation,332,4,16,12,24,2,0,0,0,20
QMS/safety/environmental protection,112,3,9,9,12,3,0,0,0,5
Technical work,2360,36,35,33,18,0,0,0,0,131
Procurement,23,0,0,4,7,3,0,0,0,2
Trade,98,0,0,6,9,4,0,0,0,3
Biology/chemicals/pharmaceuticals/medical equipment,141,0,0,0,19,14,1,0,0,5
Advertising,13,0,0,0,1,0,0,0,0,3
"Movies, TV and recreation",215,0,0,0,0,0,0,0,0,7
Literature/screenwriting/writing,18,0,0,0,5,1,0,0,0,0
Real property,1509,2,2,0,6,0,0,0,0,26
Property management,281,2,10,0,7,0,0,0,0,33
Restaurants & recreation,1105,5,19,2,9,0,0,0,0,90
Hotels/tourism,163,1,3,1,12,1,0,0,0,12
Beauty and personal care,295,1,25,0,2,0,0,0,0,5
General merchandise/chains/retail,1241,11,42,20,38,1,0,0,0,30
Security/housekeeping/other,161,0,0,0,0,0,0,0,0,23
Graduates,658,0,1,0,52,5,0,0,0,18
Other,968,7,14,19,27,14,0,0,0,44
,,,,,,,,,,
,,,,,,,,,,
