Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,224,0,0,2,30,3,0,0,0,0
Sales management,1196,0,3,10,47,7,0,0,0,52
market/marketing,445,0,5,12,46,0,0,0,0,27
Sales ,1445,3,13,14,58,2,0,0,0,60
Computer hardware,12,0,0,1,0,2,0,0,0,0
Internet development and application,195,0,0,0,2,4,0,0,0,6
IT-Management,1,0,0,0,1,0,0,0,0,0
"IT-QM, technical support and more",1,0,0,0,1,0,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,167,0,0,3,8,4,0,0,0,16
Finance/auditing/tax,127,0,0,0,44,6,0,0,0,16
Engineering/machinery/energy,298,0,5,13,25,3,0,0,0,4
HR,109,0,3,0,25,9,0,0,0,5
Senior management,69,0,0,0,2,2,0,0,0,3
Logistics/warehousing,119,0,14,7,10,0,0,0,0,14
Art/graphics/Animation design,185,0,0,12,36,2,0,0,0,12
Science & Technology,28,0,0,0,4,1,0,0,0,2
Legal profession/law,1,0,0,0,0,1,0,0,0,0
Education,102,0,1,0,0,14,0,0,0,8
Hospital/medical/care,91,0,13,0,9,0,0,0,0,1
Counsel/consulting,54,0,0,1,2,0,0,0,0,3
Transportation service,79,2,2,0,0,0,0,0,0,14
Translation,3,0,0,0,0,1,0,0,0,0
Construction/infrastructure/gardening,222,0,0,3,18,13,0,0,0,4
Banking,64,0,0,2,7,0,0,0,0,1
Office administration/logistics,231,0,16,3,31,12,0,0,0,35
Customer service and technical support,333,0,16,3,23,0,0,0,0,10
Securities/finance/investment,90,0,0,1,3,2,0,0,0,1
Insurance,37,0,0,0,11,0,0,0,0,0
Production/operation,83,2,1,1,13,1,0,0,0,7
QMS/safety/environmental protection,41,0,3,1,5,2,0,0,0,0
Technical work,594,14,11,1,2,0,0,0,0,41
Procurement,12,0,0,0,3,0,0,0,0,2
Trade,35,0,0,1,3,0,0,0,0,0
Biology/chemicals/pharmaceuticals/medical equipment,50,0,3,0,13,0,1,0,0,3
Advertising,1,0,0,0,1,0,0,0,0,0
PRs and news media,32,0,0,0,3,0,0,0,0,2
Literature/screenwriting/writing,35,0,0,0,3,4,0,0,0,2
Real property,646,0,1,0,4,0,0,0,0,14
Property management,187,0,7,0,1,0,0,0,0,19
Restaurants & recreation,642,6,1,0,2,0,0,0,0,69
Hotels/tourism,4,0,0,0,0,0,0,0,0,1
Beauty and personal care,50,0,0,0,0,0,0,0,0,4
General merchandise/chains/retail,377,10,7,0,1,0,0,0,0,32
Security/housekeeping/other,112,0,1,0,0,0,0,0,0,11
Graduates,38,0,0,0,6,0,0,0,0,0
Other,248,10,4,5,5,2,0,0,0,19
,,,,,,,,,,
