Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,203,0,0,0,27,2,0,0,0,4
Sales management,614,0,8,8,54,7,0,0,0,37
market/marketing,901,0,12,3,42,9,0,0,0,50
Sales ,1833,1,14,34,82,2,0,0,0,75
Computer hardware,4,0,0,0,0,1,0,0,0,1
Internet development and application,112,0,0,0,9,0,0,0,0,5
IT-Management,6,0,0,0,2,2,0,0,0,1
"IT-QM, technical support and more",42,0,1,0,4,0,0,0,0,1
Electronics/appliances/semiconductor/instrumentation,200,1,0,1,15,6,0,0,0,7
Finance/auditing/tax,237,0,3,2,74,7,0,0,0,12
Engineering/machinery/energy,366,0,0,16,16,20,0,0,0,12
HR,153,0,3,0,26,6,0,0,0,15
Senior management,11,0,0,0,4,6,0,0,0,1
Logistics/warehousing,121,1,15,1,4,1,0,0,0,24
Art/graphics/Animation design,143,0,0,15,19,0,0,0,0,12
Science & Technology,50,0,0,0,0,2,0,0,0,1
Legal profession/law,8,0,0,0,0,0,0,0,0,4
Education,99,0,0,0,7,2,0,0,0,0
Hospital/medical/care,74,0,0,2,4,0,0,0,0,0
Counsel/consulting,102,0,0,0,13,14,0,0,0,3
Transportation service,133,0,4,0,0,0,0,0,0,11
Translation,6,0,0,0,0,2,0,0,0,0
Construction/infrastructure/gardening,423,2,0,6,33,14,0,0,0,8
Banking,266,0,0,6,3,0,0,0,0,0
Office administration/logistics,321,1,17,5,51,17,0,0,0,37
Customer service and technical support,983,0,24,10,27,0,0,0,0,7
Securities/finance/investment,36,0,0,0,5,0,0,0,0,0
Insurance,237,0,0,0,23,7,0,0,0,0
Production/operation,194,0,0,0,9,3,0,0,0,13
QMS/safety/environmental protection,45,0,4,1,15,2,0,0,0,0
Technical work,798,13,15,9,2,0,0,0,0,56
Fashion/textile/furs,2,0,0,2,0,0,0,0,0,0
Procurement,8,0,0,0,3,0,0,0,0,0
Trade,48,0,0,0,8,3,0,0,0,1
Biology/chemicals/pharmaceuticals/medical equipment,43,0,0,0,2,2,2,0,0,3
Advertising,4,0,0,0,2,0,0,0,0,0
PRs and news media,10,0,0,0,3,0,0,0,0,1
"Movies, TV and recreation",46,0,0,0,6,0,0,0,0,0
Literature/screenwriting/writing,15,0,0,0,1,8,0,0,0,0
Real property,526,0,0,0,1,0,0,0,0,16
Property management,170,1,8,0,0,0,0,0,0,29
Restaurants & recreation,956,6,9,4,4,0,0,0,0,91
Hotels/tourism,74,1,4,0,9,2,0,0,0,10
Beauty and personal care,4,0,0,1,0,2,0,0,0,0
General merchandise/chains/retail,329,1,8,2,3,0,0,0,0,2
Security/housekeeping/other,310,0,0,0,0,0,0,0,0,19
Graduates,202,0,0,0,8,5,0,0,0,8
Other,731,13,4,3,36,9,0,0,0,29
,,,,,,,,,,
,,,,,,,,,,
