Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,14,0,0,0,2,1,0,0,0,4
Sales management,1220,3,18,8,88,6,0,0,0,69
market/marketing,1411,7,16,7,90,8,0,0,0,56
Sales ,2243,7,33,18,116,2,0,0,0,79
Computer hardware,10,0,1,0,0,2,0,0,0,0
Internet development and application,56,0,2,0,17,1,0,0,0,6
IT-Management,14,0,0,0,5,0,0,0,0,1
"IT-QM, technical support and more",21,0,0,0,8,1,0,0,0,0
Communications technology,2,0,0,0,0,2,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,301,0,6,5,28,8,0,0,0,2
Finance/auditing/tax,338,0,0,0,110,19,0,0,0,34
Engineering/machinery/energy,574,0,8,4,78,21,0,0,0,19
HR,369,0,0,0,84,7,0,0,0,33
Senior management,18,0,0,8,2,3,0,0,0,4
Logistics/warehousing,405,7,13,15,32,2,0,0,0,41
Art/graphics/Animation design,222,0,3,0,55,4,0,0,0,10
Science & Technology,28,0,0,0,2,1,1,0,0,2
Legal profession/law,8,0,0,0,0,0,0,0,0,4
Education,136,0,0,1,7,20,0,0,0,2
Hospital/medical/care,45,0,0,2,6,0,0,0,0,4
Counsel/consulting,426,0,8,1,13,13,0,0,0,3
Transportation service,124,9,3,1,0,0,0,0,0,21
Translation,4,0,0,0,2,0,0,0,0,0
Construction/infrastructure/gardening,766,0,1,6,69,9,0,0,0,10
Banking,59,1,1,3,3,0,0,0,0,0
Office administration/logistics,620,0,8,9,111,16,1,0,0,59
Customer service and technical support,1054,0,13,22,53,2,0,0,0,24
Securities/finance/investment,36,0,0,0,4,0,0,0,0,1
Insurance,53,0,0,0,2,4,0,0,0,0
Production/operation,473,19,9,11,16,0,0,0,0,10
QMS/safety/environmental protection,204,1,9,10,13,21,0,0,0,10
Technical work,1393,11,25,23,11,1,0,0,0,80
Procurement,29,0,0,2,11,1,0,0,0,2
Trade,40,0,0,1,8,0,0,0,0,2
Biology/chemicals/pharmaceuticals/medical equipment,317,4,0,4,12,4,0,0,0,4
Advertising,26,0,0,0,6,4,0,0,0,0
PRs and news media,46,0,0,4,3,0,0,0,0,0
"Movies, TV and recreation",28,0,0,0,5,0,0,0,0,0
Literature/screenwriting/writing,6,0,0,0,2,2,0,0,0,0
Real property,1367,0,2,0,26,20,0,0,0,22
Property management,317,0,15,1,8,2,0,0,0,50
Restaurants & recreation,924,4,16,0,5,0,0,0,0,64
Hotels/tourism,117,1,3,4,11,0,0,0,0,14
Beauty and personal care,339,7,5,3,3,0,0,0,0,10
General merchandise/chains/retail,594,1,31,9,11,0,0,0,0,22
Security/housekeeping/other,581,4,8,0,6,0,0,0,0,31
Graduates,740,0,0,0,46,2,0,0,0,12
Other,1282,24,12,3,45,15,0,0,0,53
,,,,,,,,,,
,,,,,,,,,,
