Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
,60,0,0,0,6,2,0,0,0,8
Computer software ,15,0,0,0,0,3,2,0,0,0
Sales management,78,0,0,0,11,2,0,0,0,0
market/marketing,31,0,0,0,5,0,0,0,0,2
Sales ,180,0,0,0,2,0,0,0,0,12
Internet development and application,4,0,0,0,2,0,0,0,0,0
"IT-QM, technical support and more",10,0,0,2,2,0,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,127,6,0,0,0,3,0,0,0,0
Finance/auditing/tax,26,0,0,0,6,4,0,0,0,1
Engineering/machinery/energy,131,3,3,2,7,5,0,0,0,2
HR,2,0,0,0,0,0,0,0,0,2
Senior management,4,0,0,0,0,2,0,0,0,2
Logistics/warehousing,5,0,0,2,1,0,0,0,0,0
Art/graphics/Animation design,6,0,0,0,0,0,0,0,0,2
Science & Technology,4,0,0,0,0,0,2,0,0,0
Legal profession/law,3,0,0,0,0,1,0,0,0,1
Education,6,0,0,0,0,0,1,0,0,0
Hospital/medical/care,10,0,0,0,0,0,0,0,0,2
Counsel/consulting,1,0,0,0,0,0,0,0,0,1
Transportation service,7,0,1,0,0,0,0,0,0,3
Translation,2,0,0,0,0,2,0,0,0,0
Construction/infrastructure/gardening,4,0,0,0,3,0,0,0,0,0
Office administration/logistics,32,0,0,0,3,1,0,0,0,6
Production/operation,4,0,0,0,2,0,0,0,0,0
QMS/safety/environmental protection,2,0,0,0,2,0,0,0,0,0
Technical work,110,1,0,3,4,0,0,0,0,7
Property management,9,0,1,0,0,0,0,0,0,3
Restaurants & recreation,134,0,0,0,1,0,0,0,0,17
Hotels/tourism,4,0,0,0,2,0,0,0,0,0
Beauty and personal care,40,0,2,0,0,0,0,0,0,0
Security/housekeeping/other,16,0,0,0,0,0,0,0,0,6
Graduates,15,0,0,0,2,0,0,0,0,0
Other,63,0,3,0,8,1,0,0,0,4
