Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,275,0,0,0,40,2,0,0,0,1
Sales management,1036,0,13,4,76,5,0,0,0,43
market/marketing,494,1,10,1,48,1,0,0,0,27
Sales ,1793,0,36,18,76,3,0,0,0,78
Computer hardware,33,0,0,0,8,1,0,0,0,0
Internet development and application,198,0,0,0,25,3,0,0,0,19
IT-Management,11,0,0,0,1,1,0,0,0,0
"IT-QM, technical support and more",376,0,1,1,40,4,0,0,0,18
Electronics/appliances/semiconductor/instrumentation,4210,0,2,2,11,9,0,0,0,6
Finance/auditing/tax,282,0,1,8,96,6,0,0,0,22
Engineering/machinery/energy,60,0,0,2,6,12,0,0,0,2
HR,312,0,5,0,83,6,0,0,0,16
Senior management,7,0,0,0,1,4,0,0,0,0
Logistics/warehousing,149,0,5,5,27,0,0,0,0,14
Art/graphics/Animation design,190,0,2,0,43,2,0,0,0,2
Legal profession/law,12,0,0,0,0,2,0,0,0,4
Education,49,0,0,0,2,2,1,0,0,5
Hospital/medical/care,59,0,0,0,5,0,0,0,0,11
Counsel/consulting,543,0,13,0,28,14,0,0,0,3
Transportation service,29,5,0,0,0,0,0,0,0,7
Construction/infrastructure/gardening,398,0,1,17,65,6,0,0,0,15
Office administration/logistics,250,0,2,8,71,6,0,0,0,26
Customer service and technical support,335,3,16,1,25,0,0,0,0,15
Securities/finance/investment,181,0,0,2,22,0,0,0,0,6
Insurance,123,0,7,0,7,2,0,0,0,0
Production/operation,18,0,0,1,7,2,0,0,0,7
QMS/safety/environmental protection,28,0,0,0,11,1,0,0,0,0
Technical work,207,6,4,3,2,0,0,0,0,26
Procurement,18,0,0,4,5,0,0,0,0,1
Trade,31,0,0,0,1,2,0,0,0,1
Biology/chemicals/pharmaceuticals/medical equipment,29,0,0,0,3,1,0,0,0,3
Advertising,22,0,0,1,2,1,0,0,0,1
Literature/screenwriting/writing,6,0,0,0,2,2,0,0,0,0
Real property,978,0,10,0,8,0,0,0,0,17
Property management,76,0,4,0,2,0,0,0,0,18
Restaurants & recreation,415,7,4,0,3,0,0,0,0,53
Hotels/tourism,201,2,10,2,20,0,0,0,0,9
Beauty and personal care,50,0,0,4,0,0,0,0,0,3
General merchandise/chains/retail,289,1,5,10,14,0,0,0,0,6
Security/housekeeping/other,55,0,0,0,0,0,0,0,0,21
Graduates,702,0,0,0,41,1,0,0,0,9
Other,186,1,3,9,32,3,0,0,0,17
,,,,,,,,,,
,,,,,,,,,,
