Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
,3871,0,35,7,127,0,0,0,0,41
Computer software ,46,0,0,0,9,10,0,0,0,0
Sales management,2693,3,22,15,179,16,0,0,0,96
market/marketing,1859,1,51,18,87,5,1,0,0,89
Sales ,4783,0,77,25,160,1,0,0,0,171
Computer hardware,16,0,0,0,7,2,0,0,0,0
Internet development and application,96,0,0,0,26,2,0,0,0,5
IT-Management,8,0,0,0,4,0,0,0,0,0
"IT-QM, technical support and more",133,0,1,2,11,1,0,0,0,28
Communications technology,29,0,0,0,1,1,0,0,0,2
Electronics/appliances/semiconductor/instrumentation,158,1,2,1,16,4,0,0,0,0
Finance/auditing/tax,343,0,4,5,101,8,0,0,0,51
Engineering/machinery/energy,285,0,2,4,19,43,5,0,0,33
HR,512,0,5,0,121,6,0,0,0,16
Senior management,22,0,0,0,11,2,0,0,0,0
Logistics/warehousing,305,3,21,3,18,0,0,0,0,32
Art/graphics/Animation design,210,0,4,6,34,1,0,0,0,23
Science & Technology,2,0,0,0,0,2,0,0,0,0
Legal profession/law,16,0,0,0,1,0,0,0,0,7
Education,417,0,4,0,11,31,0,0,0,3
Hospital/medical/care,438,0,0,0,2,0,0,0,0,8
Counsel/consulting,588,0,13,3,21,0,0,0,0,8
Transportation service,113,4,10,0,0,0,0,0,0,17
Translation,6,0,0,0,0,3,0,0,0,0
Construction/infrastructure/gardening,443,0,4,5,80,14,0,0,0,28
Office administration/logistics,1082,0,19,16,146,16,0,0,0,77
Customer service and technical support,978,0,28,17,72,2,0,0,0,32
Securities/finance/investment,109,0,0,0,3,3,0,0,0,4
Insurance,399,0,17,0,14,4,0,0,0,7
Production/operation,226,5,4,2,16,4,0,0,0,10
QMS/safety/environmental protection,87,0,2,4,9,1,0,0,0,7
Technical work,902,17,14,17,0,0,0,0,0,34
Fashion/textile/furs,3,0,2,0,1,0,0,0,0,0
Procurement,14,0,1,1,4,0,0,0,0,2
Trade,135,0,0,0,6,5,0,0,0,2
Biology/chemicals/pharmaceuticals/medical equipment,49,0,0,0,6,6,0,0,0,0
Advertising,68,0,0,0,5,0,0,0,0,18
PRs and news media,38,0,0,4,2,0,0,0,0,0
"Movies, TV and recreation",3,0,0,0,0,0,0,0,0,2
Literature/screenwriting/writing,44,0,0,0,6,1,0,0,0,15
Real property,1095,0,0,1,12,0,0,0,0,25
Property management,132,0,7,0,2,1,0,0,0,12
Restaurants & recreation,412,3,2,1,8,0,0,0,0,53
Hotels/tourism,166,2,6,2,21,0,0,0,0,9
Beauty and personal care,145,7,2,0,1,0,0,0,0,7
General merchandise/chains/retail,147,0,17,0,8,2,0,0,0,8
Security/housekeeping/other,108,5,0,0,0,0,0,0,0,26
Graduates,264,0,1,2,23,3,0,0,0,3
Other,801,3,18,6,66,16,1,0,0,73
