Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,235,0,0,0,11,5,0,0,0,9
Sales management,1528,0,16,7,126,4,0,0,0,146
market/marketing,757,1,12,10,54,4,0,0,0,66
Sales ,5842,2,71,161,159,7,0,0,0,187
Computer hardware,18,0,0,0,2,2,0,0,0,3
Internet development and application,106,0,0,0,11,0,0,0,0,29
IT-Management,72,0,0,0,1,0,0,0,0,1
"IT-QM, technical support and more",81,0,2,0,5,1,0,0,0,5
Communications technology,26,0,0,1,0,2,0,0,0,2
Electronics/appliances/semiconductor/instrumentation,42,0,1,0,0,2,2,0,0,3
Finance/auditing/tax,168,0,6,3,47,9,0,0,0,27
Engineering/machinery/energy,198,0,0,0,39,13,0,0,0,10
HR,105,0,3,0,26,7,0,0,0,19
Senior management,23,0,0,0,9,0,0,0,0,4
Logistics/warehousing,256,4,11,6,16,0,0,0,0,43
Art/graphics/Animation design,82,0,0,0,14,0,0,0,0,25
Science & Technology,6,0,0,0,0,0,0,0,0,1
Legal profession/law,16,0,0,0,4,0,0,0,0,1
Education,89,0,0,0,3,7,0,0,0,4
Hospital/medical/care,71,0,0,0,9,0,0,0,0,2
Counsel/consulting,645,0,12,0,38,4,0,0,0,17
Transportation service,48,4,1,0,0,0,0,0,0,13
Translation,4,0,0,0,4,0,0,0,0,0
Construction/infrastructure/gardening,164,0,1,0,23,3,0,0,0,9
Banking,5,0,0,0,1,0,0,0,0,0
Office administration/logistics,454,5,2,11,80,3,0,0,0,76
Customer service and technical support,362,0,6,0,20,1,0,0,0,27
Securities/finance/investment,424,0,6,0,11,1,0,0,0,13
Insurance,140,1,0,0,4,0,0,0,0,2
Production/operation,219,0,2,3,2,0,0,0,0,6
QMS/safety/environmental protection,48,0,0,0,18,2,0,0,0,5
Technical work,591,2,0,2,2,1,0,0,0,55
Fashion/textile/furs,4,0,0,0,0,0,0,0,0,2
Procurement,11,0,0,1,4,1,0,0,0,1
Trade,9,0,0,0,4,1,0,0,0,1
Biology/chemicals/pharmaceuticals/medical equipment,42,0,1,0,3,4,0,0,0,4
Advertising,16,0,0,0,4,0,0,0,0,0
"Movies, TV and recreation",5,0,0,0,3,0,0,0,0,1
Literature/screenwriting/writing,25,0,0,0,6,0,0,0,0,4
Real property,695,0,0,6,9,0,0,0,0,30
Property management,74,0,2,1,3,0,0,0,0,7
Restaurants & recreation,781,6,12,7,6,0,0,0,0,79
Hotels/tourism,79,0,0,0,1,0,0,0,0,9
Beauty and personal care,8,0,0,0,0,0,0,0,0,2
General merchandise/chains/retail,182,3,2,2,3,0,0,0,0,8
Security/housekeeping/other,60,0,1,0,0,0,0,0,0,7
Graduates,512,0,2,0,18,4,0,0,0,30
Other,439,0,9,3,36,0,0,0,0,48
