Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,286,2,0,0,4,3,0,0,0,18
Sales management,2718,4,29,20,209,6,0,0,0,183
market/marketing,2032,3,20,12,94,8,0,0,0,108
Sales ,9820,25,128,164,228,12,0,0,0,389
Computer hardware,24,0,0,0,4,2,0,0,0,2
Internet development and application,89,0,0,0,20,1,0,0,0,20
IT-Management,20,0,0,0,4,0,0,0,0,0
"IT-QM, technical support and more",11,0,0,0,5,0,0,0,0,2
Communications technology,2,0,0,0,0,2,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,109,0,1,0,23,8,0,0,0,2
Finance/auditing/tax,258,2,13,4,82,2,0,0,0,47
Engineering/machinery/energy,309,0,0,1,40,21,0,0,0,17
HR,268,0,12,3,67,3,0,0,0,16
Senior management,59,0,0,0,0,4,0,0,0,13
Logistics/warehousing,271,2,13,2,7,2,0,0,0,63
Art/graphics/Animation design,152,0,0,4,26,3,0,0,0,19
Science & Technology,16,0,0,0,2,7,0,0,0,0
Legal profession/law,4,0,0,0,0,2,0,0,0,0
Education,248,0,1,0,24,12,0,0,0,23
Hospital/medical/care,184,0,0,1,21,0,0,0,0,3
Counsel/consulting,466,0,2,8,30,1,0,0,0,17
Transportation service,69,8,4,5,0,0,0,0,0,22
Translation,6,0,0,0,2,0,0,0,0,2
Construction/infrastructure/gardening,317,0,0,6,23,15,0,0,0,15
Office administration/logistics,705,3,8,14,143,10,0,0,0,118
Customer service and technical support,629,1,20,11,44,4,0,0,0,43
Securities/finance/investment,687,7,9,1,24,4,0,0,0,39
Insurance,360,0,7,2,25,4,0,0,0,6
Production/operation,96,1,0,4,32,5,0,0,0,3
QMS/safety/environmental protection,84,0,3,0,20,1,0,0,0,11
Technical work,552,16,16,10,8,5,0,0,0,41
Procurement,43,0,6,0,11,0,0,0,0,1
Trade,4,0,0,0,1,1,0,0,0,0
Biology/chemicals/pharmaceuticals/medical equipment,119,0,0,0,7,6,0,0,0,4
Advertising,10,0,0,0,2,3,0,0,0,0
PRs and news media,10,0,0,0,1,0,0,0,0,3
"Movies, TV and recreation",15,0,0,0,2,2,0,0,0,3
Literature/screenwriting/writing,18,0,0,0,4,0,0,0,0,7
Real property,1170,42,0,0,12,0,0,0,0,22
Property management,11,0,0,0,4,0,0,0,0,2
Restaurants & recreation,741,20,11,0,22,0,0,0,0,30
Hotels/tourism,197,9,0,0,3,0,0,0,0,29
Beauty and personal care,327,2,4,0,2,0,0,0,0,9
General merchandise/chains/retail,422,0,0,12,12,0,0,0,0,4
Security/housekeeping/other,57,0,2,0,0,0,0,0,0,11
Graduates,262,0,1,2,20,1,0,0,0,6
Other,384,1,4,2,74,1,0,0,0,52
