Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,186,1,0,0,13,4,0,0,0,12
Sales management,3257,5,31,32,295,20,0,0,0,217
market/marketing,2612,1,16,13,148,13,0,0,0,146
Sales ,11264,16,124,200,303,14,0,0,0,437
Computer hardware,185,0,3,0,0,0,0,0,0,8
Internet development and application,204,0,0,0,30,3,0,0,0,21
IT-Management,36,0,0,0,8,0,0,0,0,4
"IT-QM, technical support and more",34,0,1,0,5,0,0,0,0,7
Communications technology,33,0,0,0,7,0,0,0,0,2
Electronics/appliances/semiconductor/instrumentation,81,0,2,1,17,1,0,0,0,3
Finance/auditing/tax,302,2,11,7,77,4,0,0,0,39
Engineering/machinery/energy,607,1,3,7,44,13,0,0,0,17
HR,266,0,5,0,119,10,0,0,0,17
Senior management,54,0,0,2,5,2,1,0,0,4
Logistics/warehousing,358,3,20,4,12,2,0,0,0,61
Art/graphics/Animation design,332,0,3,4,51,8,0,0,0,21
Science & Technology,1,0,0,0,0,1,0,0,0,0
Education,341,0,2,2,41,10,0,0,0,8
Hospital/medical/care,184,0,0,0,26,1,0,0,0,4
Counsel/consulting,546,0,2,1,29,1,0,0,0,33
Transportation service,119,5,6,1,8,0,0,0,0,21
Translation,15,0,0,0,4,2,0,0,0,1
Construction/infrastructure/gardening,153,0,1,1,29,4,0,0,0,6
Office administration/logistics,801,3,19,25,157,22,0,0,0,143
Customer service and technical support,1246,0,14,37,67,2,0,0,0,33
Securities/finance/investment,1052,0,17,0,41,1,0,0,0,49
Insurance,287,0,2,6,9,6,0,0,0,0
Production/operation,74,0,0,0,16,9,0,0,0,11
QMS/safety/environmental protection,109,0,0,2,21,1,0,0,0,6
Technical work,880,4,25,5,7,3,0,0,0,50
Procurement,40,0,4,0,10,0,0,0,0,0
Trade,2,0,0,0,0,1,0,0,0,0
Biology/chemicals/pharmaceuticals/medical equipment,100,0,2,1,5,8,0,0,0,7
Advertising,36,0,0,0,13,0,0,0,0,1
"Movies, TV and recreation",4,0,0,0,0,0,0,0,0,4
Literature/screenwriting/writing,175,0,4,0,8,0,0,0,0,6
Real property,806,26,0,0,25,0,0,0,0,31
Property management,66,0,0,5,12,0,0,0,0,10
Restaurants & recreation,467,10,4,0,0,0,0,0,0,64
Hotels/tourism,54,4,0,4,3,0,0,0,0,10
Beauty and personal care,130,0,2,2,0,0,0,0,0,7
General merchandise/chains/retail,168,0,2,0,9,0,0,0,0,5
Security/housekeeping/other,152,3,4,3,8,0,0,0,0,17
Graduates,1456,0,0,1,68,1,0,0,0,67
Other,682,0,13,0,77,2,0,0,0,77
,,,,,,,,,,
