Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,211,0,0,0,22,6,0,0,0,17
Sales management,2205,2,25,24,175,7,0,0,0,156
market/marketing,2195,0,28,27,102,4,0,0,0,106
Sales ,8730,10,107,213,256,11,0,0,0,279
Computer hardware,90,0,0,1,5,0,0,0,0,6
Internet development and application,258,0,0,8,35,1,0,0,0,9
IT-Management,142,0,0,0,1,0,0,0,0,2
"IT-QM, technical support and more",95,0,5,1,10,0,0,0,0,6
Communications technology,79,0,0,2,3,1,0,0,0,4
Electronics/appliances/semiconductor/instrumentation,156,0,7,0,12,8,3,0,0,4
Finance/auditing/tax,195,4,16,11,60,0,0,0,0,22
Engineering/machinery/energy,63,0,2,2,16,7,0,0,0,5
HR,210,0,4,0,60,7,0,0,0,17
Senior management,25,0,0,0,5,1,0,0,0,5
Logistics/warehousing,301,10,7,8,11,0,0,0,0,48
Art/graphics/Animation design,129,0,1,1,29,3,0,0,0,8
Science & Technology,12,0,0,0,0,0,0,0,0,2
Legal profession/law,8,0,0,0,0,0,0,0,0,2
Education,106,0,0,0,18,3,0,0,0,6
Hospital/medical/care,109,0,0,0,15,0,0,0,0,3
Counsel/consulting,285,0,4,3,34,0,0,0,0,13
Transportation service,96,10,0,1,2,0,0,0,0,12
Translation,14,0,0,0,0,6,0,0,0,0
Construction/infrastructure/gardening,375,0,0,0,25,4,0,0,0,24
Office administration/logistics,851,1,6,17,127,5,0,0,0,90
Customer service and technical support,826,0,9,26,28,0,0,0,0,37
Securities/finance/investment,752,0,14,2,22,0,0,0,0,34
Insurance,1125,8,0,0,26,7,0,0,0,0
Production/operation,249,0,3,4,2,1,0,0,0,4
QMS/safety/environmental protection,67,0,0,0,25,2,0,0,0,9
Technical work,621,4,0,2,6,0,0,0,0,59
Fashion/textile/furs,1,0,1,0,0,0,0,0,0,0
Procurement,53,0,6,2,9,0,0,0,0,2
Trade,33,0,0,0,6,3,0,0,0,2
Biology/chemicals/pharmaceuticals/medical equipment,156,0,1,0,6,9,0,0,0,27
Advertising,10,0,0,0,3,0,0,0,0,1
"Movies, TV and recreation",13,0,0,0,5,0,0,0,0,0
Literature/screenwriting/writing,14,0,0,1,7,0,0,0,0,1
Real property,1218,20,2,3,10,0,0,0,0,51
Property management,255,0,0,1,5,0,0,0,0,12
Restaurants & recreation,1125,4,6,10,10,0,0,0,0,121
Hotels/tourism,303,4,3,2,5,0,0,0,0,11
Beauty and personal care,118,0,0,0,0,0,0,0,0,13
General merchandise/chains/retail,23,0,0,0,1,0,0,0,0,3
Security/housekeeping/other,51,3,0,0,2,0,0,0,0,5
Graduates,1317,0,2,4,56,2,0,0,0,57
Other,311,0,10,2,49,0,0,0,0,43
,,,,,,,,,,
