Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
,3,0,0,0,0,1,0,0,0,0
Computer software ,318,0,0,0,2,14,0,0,0,26
Sales management,3694,3,62,9,314,13,0,0,0,185
market/marketing,3296,1,48,7,205,10,0,0,0,181
Sales ,10040,7,204,52,389,20,0,0,0,322
Computer hardware,19,0,0,0,3,0,0,0,0,3
Internet development and application,209,0,0,0,24,2,0,0,0,43
IT-Management,16,0,0,0,6,0,0,0,0,0
"IT-QM, technical support and more",44,0,0,0,17,3,0,0,0,0
Communications technology,40,0,8,0,0,0,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,105,0,2,0,23,15,2,0,0,5
Finance/auditing/tax,333,0,3,5,137,17,0,0,0,31
Engineering/machinery/energy,296,4,2,7,32,25,0,0,0,16
HR,479,1,3,0,117,17,0,0,0,39
Senior management,15,0,0,0,6,0,0,0,0,7
Logistics/warehousing,303,2,24,12,19,1,0,0,0,30
Art/graphics/Animation design,349,0,1,12,55,3,0,0,0,42
Science & Technology,46,0,0,0,2,5,0,0,0,0
Legal profession/law,34,0,0,0,5,2,0,0,0,10
Education,368,0,0,0,21,40,3,0,0,6
Hospital/medical/care,143,0,1,0,12,3,0,0,0,6
Counsel/consulting,749,2,2,0,64,1,0,0,0,20
Transportation service,434,29,4,0,2,0,0,0,0,42
Translation,11,0,0,0,0,0,0,0,0,7
Construction/infrastructure/gardening,315,1,3,7,31,3,0,0,0,17
Office administration/logistics,1236,2,24,16,240,27,0,0,0,138
Customer service and technical support,1230,1,18,7,94,1,0,0,0,56
Securities/finance/investment,731,0,0,6,18,1,0,0,0,28
Insurance,267,0,0,0,3,0,0,0,0,13
Production/operation,89,1,4,6,13,2,0,0,0,9
QMS/safety/environmental protection,45,0,1,0,7,3,0,0,0,10
Technical work,827,40,36,5,17,0,0,0,0,77
Procurement,38,0,0,1,15,0,0,0,0,10
Trade,27,0,0,0,4,1,0,0,0,3
Biology/chemicals/pharmaceuticals/medical equipment,334,0,4,0,16,0,0,0,0,10
Advertising,16,0,0,1,2,0,0,0,0,0
PRs and news media,11,0,0,0,2,1,0,0,0,2
"Movies, TV and recreation",8,0,2,0,0,2,0,0,0,2
Literature/screenwriting/writing,40,0,0,0,6,1,0,0,0,3
Real property,429,0,6,0,9,0,0,0,0,18
Property management,326,0,0,36,12,0,0,0,0,15
Restaurants & recreation,2978,0,1,0,16,0,0,0,0,134
Hotels/tourism,39,0,0,0,7,0,0,0,0,6
Beauty and personal care,179,2,2,2,3,0,0,0,0,12
General merchandise/chains/retail,233,0,3,0,11,0,0,0,0,21
Security/housekeeping/other,102,0,0,3,1,0,0,0,0,16
Graduates,600,0,0,3,29,15,0,0,0,15
Other,789,2,13,6,68,11,0,0,0,69
