Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
,5,0,0,0,1,0,0,0,0,0
Computer software ,404,0,0,0,12,11,0,0,0,30
Sales management,5246,3,82,41,427,19,0,0,0,230
market/marketing,4067,1,64,18,269,9,0,0,0,214
Sales ,13743,8,290,75,415,7,0,0,0,363
Computer hardware,54,0,0,0,4,0,0,0,0,2
Internet development and application,302,0,0,0,49,1,0,0,0,43
IT-Management,30,0,0,0,7,1,0,0,0,4
"IT-QM, technical support and more",90,0,0,0,26,0,0,0,0,1
Communications technology,75,0,6,0,4,0,0,0,0,2
Electronics/appliances/semiconductor/instrumentation,95,0,3,2,5,13,2,0,0,5
Finance/auditing/tax,347,0,1,6,129,17,0,0,0,38
Engineering/machinery/energy,232,0,6,1,16,22,0,0,0,12
HR,845,1,5,5,194,46,0,0,0,29
Senior management,4,0,0,0,2,1,0,0,0,0
Logistics/warehousing,429,6,23,10,55,1,0,0,0,44
Art/graphics/Animation design,438,0,0,18,87,9,0,0,0,31
Science & Technology,37,0,0,0,0,4,2,0,0,0
Legal profession/law,10,0,0,0,0,2,0,0,0,8
Education,619,0,2,0,48,41,4,0,0,11
Hospital/medical/care,124,0,2,4,16,0,0,0,0,2
Counsel/consulting,1058,0,5,1,97,10,0,0,0,24
Transportation service,326,25,7,0,0,0,0,0,0,25
Translation,2,0,0,0,2,0,0,0,0,0
Construction/infrastructure/gardening,413,0,4,3,54,3,0,0,0,20
Banking,10,0,0,0,10,0,0,0,0,0
Office administration/logistics,1443,0,22,28,300,39,0,0,0,143
Customer service and technical support,1525,1,13,21,155,4,0,0,0,43
Securities/finance/investment,1074,0,3,12,27,7,0,0,0,33
Insurance,568,0,2,0,16,5,0,0,0,19
Production/operation,141,4,1,2,15,2,0,0,0,12
QMS/safety/environmental protection,110,0,7,1,29,5,0,0,0,5
Technical work,3326,44,18,5,10,0,0,0,0,70
Procurement,53,0,0,2,21,1,0,0,0,8
Trade,44,0,0,0,5,5,0,0,0,2
Biology/chemicals/pharmaceuticals/medical equipment,117,0,0,0,22,4,0,0,0,23
Advertising,23,0,0,0,5,2,0,0,0,7
PRs and news media,99,0,0,0,9,1,0,0,0,2
"Movies, TV and recreation",2,0,0,0,0,0,0,0,0,2
Literature/screenwriting/writing,22,0,0,0,1,2,0,0,0,4
Real property,631,0,0,6,6,0,0,0,0,43
Property management,222,1,0,2,6,0,0,0,0,20
Restaurants & recreation,863,0,0,0,15,0,0,0,0,65
Hotels/tourism,150,0,0,0,2,0,0,0,0,13
Beauty and personal care,132,0,4,0,5,0,0,0,0,20
General merchandise/chains/retail,462,0,6,7,11,2,0,0,0,20
Security/housekeeping/other,67,0,2,0,1,0,0,0,0,11
Graduates,691,0,0,0,61,4,0,0,0,22
Other,705,2,17,2,96,9,0,0,0,81
