Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
,699,0,15,1,69,3,0,0,0,12
Computer software ,491,0,0,0,20,7,0,0,0,34
Sales management,2045,0,41,11,178,18,0,0,0,133
market/marketing,2013,0,44,14,106,13,0,0,0,71
Sales ,7826,4,145,23,296,8,0,0,0,311
Computer hardware,100,0,0,0,19,2,0,0,0,1
Internet development and application,488,0,2,4,36,3,0,0,0,41
IT-Management,69,0,0,0,7,0,0,0,0,1
"IT-QM, technical support and more",51,0,0,1,11,2,0,0,0,1
Communications technology,67,0,12,0,1,2,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,98,0,0,3,12,9,0,0,0,3
Finance/auditing/tax,320,0,4,3,106,17,0,0,0,36
Engineering/machinery/energy,289,0,5,2,41,6,0,0,0,5
HR,451,0,6,2,139,12,0,0,0,20
Senior management,19,0,0,0,6,2,0,0,0,5
Logistics/warehousing,258,3,22,8,21,0,0,0,0,19
Art/graphics/Animation design,312,0,0,19,33,1,0,0,0,29
Legal profession/law,26,0,0,0,1,0,0,0,0,10
Education,308,0,0,0,17,12,0,0,0,1
Hospital/medical/care,164,0,0,3,12,2,0,0,0,1
Counsel/consulting,494,0,15,0,15,6,0,0,0,5
Transportation service,109,6,7,0,0,0,0,0,0,6
Translation,2,0,0,0,0,2,0,0,0,0
Construction/infrastructure/gardening,316,0,0,5,39,12,0,0,0,15
Banking,50,0,2,2,0,0,0,0,0,0
Office administration/logistics,915,0,17,32,128,20,0,0,0,122
Customer service and technical support,1124,0,33,6,69,7,0,0,0,35
Securities/finance/investment,394,0,0,6,10,0,0,0,0,6
Insurance,864,0,6,0,44,11,0,0,0,10
Production/operation,105,0,3,4,14,2,0,0,0,6
QMS/safety/environmental protection,125,2,1,3,12,14,0,0,0,2
Technical work,799,5,9,4,8,4,0,0,0,84
Fashion/textile/furs,4,0,0,1,0,0,0,0,0,3
Procurement,67,0,5,0,10,2,0,0,0,3
Trade,167,0,1,0,12,4,0,0,0,2
Biology/chemicals/pharmaceuticals/medical equipment,102,0,1,1,12,6,0,0,0,2
Advertising,32,0,0,0,7,0,0,0,0,4
PRs and news media,6,0,0,0,3,0,0,0,0,0
"Movies, TV and recreation",38,0,0,0,4,2,0,0,0,6
Literature/screenwriting/writing,10,0,0,0,4,2,0,0,0,0
Real property,563,0,6,8,24,0,0,0,0,20
Property management,374,0,0,0,8,0,0,0,0,36
Restaurants & recreation,324,0,2,0,16,0,0,0,0,42
Hotels/tourism,18,0,3,0,3,0,0,0,0,3
Beauty and personal care,64,0,3,0,0,0,0,0,0,11
General merchandise/chains/retail,415,2,6,2,13,0,0,0,0,17
Security/housekeeping/other,61,0,0,0,0,0,0,0,0,9
Graduates,408,0,7,1,23,8,0,0,0,9
Other,785,5,8,3,97,13,0,0,0,48
