Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
,114,0,5,1,12,1,0,0,0,0
Computer software ,250,0,0,0,0,3,0,0,0,27
Sales management,2416,0,62,10,209,29,0,0,0,124
market/marketing,2024,2,41,12,124,29,0,0,0,76
Sales ,6907,7,161,31,286,6,0,0,0,221
Computer hardware,37,0,2,0,8,0,0,0,0,2
Internet development and application,311,0,0,8,44,1,0,0,0,39
IT-Management,6,0,0,0,2,0,0,0,0,0
"IT-QM, technical support and more",31,0,0,1,7,4,0,0,0,0
Communications technology,68,0,6,0,2,0,0,0,0,1
Electronics/appliances/semiconductor/instrumentation,113,0,0,12,16,5,0,0,0,5
Finance/auditing/tax,251,0,2,7,98,12,0,0,0,11
Engineering/machinery/energy,141,0,1,0,27,18,0,0,0,9
HR,279,0,2,3,97,8,0,0,0,19
Senior management,56,0,0,0,0,4,0,0,0,10
Logistics/warehousing,185,2,25,16,17,0,0,0,0,19
Art/graphics/Animation design,348,0,0,14,42,7,0,0,0,23
Science & Technology,7,0,0,0,2,0,0,0,0,0
Legal profession/law,6,0,0,0,0,0,0,0,0,5
Education,117,0,0,0,13,11,1,0,0,1
Hospital/medical/care,389,0,1,2,31,10,0,0,0,16
Counsel/consulting,304,0,7,0,12,1,0,0,0,12
Transportation service,111,8,8,2,0,0,0,0,0,21
Construction/infrastructure/gardening,282,4,0,8,28,3,0,0,0,23
Office administration/logistics,940,2,24,24,174,24,0,0,0,92
Customer service and technical support,1369,0,26,7,84,4,0,0,0,41
Securities/finance/investment,477,0,6,9,20,2,0,0,0,7
Insurance,110,0,2,0,6,0,0,0,0,0
Production/operation,174,0,4,4,18,3,0,0,0,8
QMS/safety/environmental protection,132,0,0,6,19,10,0,0,0,6
Technical work,580,9,4,11,14,4,0,0,0,72
Fashion/textile/furs,1,0,0,1,0,0,0,0,0,0
Procurement,51,0,0,2,16,0,0,0,0,7
Trade,9,0,0,0,0,2,0,0,0,2
Biology/chemicals/pharmaceuticals/medical equipment,59,1,2,1,11,0,0,0,0,2
Advertising,34,0,0,0,7,0,0,0,0,5
PRs and news media,4,0,0,0,2,0,0,0,0,0
"Movies, TV and recreation",4,0,0,0,0,0,0,0,0,2
Literature/screenwriting/writing,21,0,0,0,13,0,0,0,0,1
Real property,1606,0,5,4,1,0,0,0,0,56
Property management,92,0,0,0,5,0,0,0,0,11
Restaurants & recreation,495,0,0,3,10,0,0,0,0,67
Hotels/tourism,16,0,0,0,2,0,0,0,0,6
Beauty and personal care,78,0,0,1,5,0,0,0,0,2
General merchandise/chains/retail,291,1,8,11,15,0,0,0,0,17
Security/housekeeping/other,30,2,0,0,0,0,0,0,0,13
Graduates,490,0,2,6,17,10,0,0,0,9
Other,638,4,16,5,39,8,0,0,0,33
