Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,553,0,3,2,27,18,0,0,0,34
Sales management,12079,8,128,66,789,46,0,0,0,602
market/marketing,8168,12,118,46,575,43,0,0,0,443
Sales ,25855,28,429,120,712,23,0,0,0,897
Computer hardware,131,0,0,2,18,14,0,0,0,8
Internet development and application,416,0,3,3,82,15,0,0,0,64
IT-Management,15,0,0,0,4,0,0,0,0,2
"IT-QM, technical support and more",199,0,2,0,37,6,0,0,0,7
Communications technology,289,0,22,0,5,1,0,0,0,8
Electronics/appliances/semiconductor/instrumentation,247,0,0,14,26,19,0,0,0,21
Finance/auditing/tax,1032,0,6,13,336,53,0,0,0,126
Engineering/machinery/energy,3097,4,1,13,101,52,0,0,0,29
HR,1464,4,6,17,312,90,0,0,0,128
Senior management,72,0,0,0,18,14,0,0,0,12
Logistics/warehousing,2412,20,47,26,113,3,0,0,0,119
Art/graphics/Animation design,881,0,3,9,134,15,0,0,0,99
Science & Technology,58,0,0,0,0,6,0,2,0,3
Legal profession/law,21,0,0,0,0,11,0,0,0,1
Education,839,0,2,0,78,75,2,0,0,37
Hospital/medical/care,377,0,0,3,39,2,0,0,0,23
Counsel/consulting,1221,0,5,7,129,12,0,0,0,55
Transportation service,448,21,13,0,3,0,0,0,0,64
Translation,65,0,0,0,18,0,0,0,0,1
Construction/infrastructure/gardening,721,0,4,7,90,2,0,0,0,69
Banking,50,0,0,0,6,0,0,0,0,0
Office administration/logistics,3275,2,46,79,716,54,0,0,0,339
Customer service and technical support,4039,1,40,30,241,17,0,0,0,223
Securities/finance/investment,1711,0,13,0,41,17,0,0,0,57
Insurance,600,0,11,0,30,20,0,0,0,16
Production/operation,1252,6,12,5,71,24,0,0,0,35
QMS/safety/environmental protection,4835,28,8,28,64,18,0,0,0,17
Technical work,5988,120,39,14,8,1,0,0,0,188
Procurement,151,0,0,8,52,4,0,0,0,11
Trade,57,0,0,0,7,10,0,0,0,9
Biology/chemicals/pharmaceuticals/medical equipment,204,4,2,0,24,10,2,0,0,23
Advertising,76,0,0,0,13,2,0,0,0,10
PRs and news media,39,0,0,0,1,1,0,0,0,12
"Movies, TV and recreation",342,0,2,0,18,2,0,0,0,27
Literature/screenwriting/writing,102,0,3,0,23,3,0,0,0,24
Real property,3176,20,27,17,44,8,0,0,0,104
Property management,303,6,3,3,16,2,0,0,0,32
Restaurants & recreation,1381,3,11,4,26,0,0,0,0,141
Hotels/tourism,141,1,0,0,7,0,0,0,0,27
Beauty and personal care,1113,22,22,14,5,0,0,0,0,17
General merchandise/chains/retail,693,6,15,8,31,5,0,0,0,36
Security/housekeeping/other,270,4,3,0,5,0,0,0,0,30
Graduates,1605,3,4,6,123,5,0,0,0,64
Other,1380,0,16,11,145,16,0,0,0,167
