Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,335,0,0,0,21,7,0,0,0,37
Sales management,6102,8,54,42,470,37,0,0,0,352
market/marketing,8092,4,95,54,322,53,0,0,0,354
Sales ,14857,27,202,54,569,20,0,0,0,558
Computer hardware,77,0,0,0,4,0,0,0,0,12
Internet development and application,384,0,0,8,68,17,0,0,0,47
IT-Management,21,0,0,0,7,1,0,0,0,0
"IT-QM, technical support and more",100,0,0,1,20,6,0,0,0,5
Communications technology,32,0,2,0,0,0,0,0,0,4
Electronics/appliances/semiconductor/instrumentation,225,0,6,12,28,20,2,0,0,3
Finance/auditing/tax,920,5,2,5,270,29,0,0,0,148
Engineering/machinery/energy,2323,2,4,14,92,48,0,0,0,54
HR,879,4,15,5,216,28,0,0,0,113
Senior management,35,0,0,0,14,5,0,0,0,3
Logistics/warehousing,1994,10,47,24,93,5,0,0,0,161
Art/graphics/Animation design,886,0,0,2,124,29,0,0,0,88
Science & Technology,6,0,0,0,0,2,0,0,0,0
Legal profession/law,23,0,0,0,4,5,0,0,0,2
Education,776,0,0,6,36,78,10,0,0,38
Hospital/medical/care,133,0,0,0,20,1,0,0,0,5
Counsel/consulting,765,0,0,10,79,2,0,0,0,52
Transportation service,264,4,15,2,1,0,0,0,0,66
Construction/infrastructure/gardening,844,0,7,5,70,2,0,0,0,107
Banking,31,0,0,6,3,0,0,0,0,0
Office administration/logistics,2020,0,49,31,466,33,0,0,0,242
Customer service and technical support,2790,0,27,11,174,17,0,0,0,150
Securities/finance/investment,4304,0,1,0,33,9,0,0,0,74
Insurance,786,0,0,0,8,1,0,0,0,15
Production/operation,2581,4,3,11,84,19,0,0,0,107
QMS/safety/environmental protection,3136,16,7,17,45,24,0,0,0,27
Technical work,5714,70,46,46,15,4,0,0,0,263
Procurement,250,0,0,19,69,9,0,0,0,9
Trade,107,0,0,0,20,5,0,0,0,8
Biology/chemicals/pharmaceuticals/medical equipment,72,0,0,0,10,1,0,0,0,20
Advertising,70,0,0,0,34,1,0,0,0,5
PRs and news media,24,0,0,0,4,0,0,0,0,0
"Movies, TV and recreation",43,0,0,0,13,0,0,0,0,1
Literature/screenwriting/writing,29,0,0,1,7,3,0,0,0,8
Real property,2633,32,30,23,30,4,0,0,0,47
Property management,254,0,0,6,18,3,0,0,0,19
Restaurants & recreation,1634,8,27,4,7,0,0,0,0,129
Hotels/tourism,231,0,1,0,28,0,0,0,0,10
Beauty and personal care,1182,19,15,10,8,0,0,0,0,29
General merchandise/chains/retail,779,8,8,30,25,2,0,0,0,13
Security/housekeeping/other,434,0,4,0,7,0,0,0,0,29
Graduates,849,0,9,0,66,1,0,0,0,24
Other,1112,0,32,14,138,29,0,0,0,117
