Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
,1358,0,19,4,62,0,0,0,0,57
Computer software ,150,0,0,0,14,12,2,2,0,10
Sales management,5129,6,20,3,171,12,0,0,0,95
market/marketing,3597,6,25,15,75,14,0,0,0,52
Sales ,5829,4,71,17,139,12,0,0,0,175
Computer hardware,29,0,0,0,7,1,0,0,0,0
Internet development and application,403,0,0,1,29,8,0,0,0,29
IT-Management,23,0,0,0,5,2,0,0,0,1
"IT-QM, technical support and more",38,0,0,0,7,3,0,0,0,0
Communications technology,41,0,0,2,0,1,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,344,0,6,0,13,22,16,0,0,4
Finance/auditing/tax,239,0,3,2,67,16,1,0,0,35
Engineering/machinery/energy,672,1,2,11,43,36,4,1,0,15
HR,211,0,7,0,65,8,0,0,0,21
Senior management,19,0,0,0,6,8,1,0,0,2
Logistics/warehousing,363,3,16,5,19,5,0,0,0,29
Art/graphics/Animation design,261,0,2,11,25,8,0,0,0,24
Science & Technology,12,0,0,0,0,2,2,1,0,0
Legal profession/law,6,0,0,0,0,0,0,0,0,3
Education,239,0,0,0,7,10,0,16,0,5
Hospital/medical/care,1445,0,0,2,9,0,0,0,0,3
Counsel/consulting,578,0,13,0,18,0,0,0,0,3
Transportation service,70,2,5,0,3,0,0,0,0,19
Translation,32,0,0,0,2,3,0,0,0,0
Construction/infrastructure/gardening,277,7,1,4,24,7,0,0,0,13
Office administration/logistics,486,2,15,4,107,9,1,0,0,52
Customer service and technical support,671,2,32,7,45,3,0,0,0,7
Securities/finance/investment,212,0,0,0,8,7,0,0,0,11
Insurance,465,0,17,0,29,6,1,0,0,5
Production/operation,94,0,4,4,9,4,0,0,0,4
QMS/safety/environmental protection,92,0,0,5,10,12,1,0,0,3
Technical work,1293,15,7,38,5,7,0,0,0,86
Procurement,15,0,0,0,6,5,0,0,0,0
Trade,144,0,0,0,11,7,0,0,0,1
Biology/chemicals/pharmaceuticals/medical equipment,302,0,4,0,10,27,4,1,0,2
Advertising,5,0,0,0,1,0,0,0,0,1
PRs and news media,13,0,0,0,3,0,0,0,0,2
"Movies, TV and recreation",27,0,0,3,0,1,0,0,0,2
Literature/screenwriting/writing,9,0,0,0,1,3,0,0,0,0
Real property,203,0,2,0,13,0,0,0,0,16
Property management,106,0,3,0,3,1,0,0,0,16
Restaurants & recreation,489,3,4,1,0,0,0,0,0,62
Hotels/tourism,115,0,3,0,4,7,0,0,0,16
Beauty and personal care,152,8,0,0,1,2,0,0,0,5
General merchandise/chains/retail,294,6,0,3,3,0,0,0,0,7
Security/housekeeping/other,61,0,0,0,2,0,0,0,0,20
Graduates,821,0,0,0,39,27,1,0,0,16
Other,364,3,0,2,60,11,2,0,0,42
