Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
Computer software ,35,0,0,2,3,2,0,0,0,4
Sales management,277,0,3,2,24,2,0,0,0,12
market/marketing,332,0,6,0,21,2,0,0,0,28
Sales ,1015,0,17,4,46,1,0,0,0,48
Computer hardware,1,0,0,0,0,0,0,0,0,1
Internet development and application,59,0,0,1,4,0,0,0,0,9
"IT-QM, technical support and more",50,0,2,0,2,0,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,19,0,0,0,5,4,0,0,0,0
Finance/auditing/tax,54,0,0,0,20,6,0,0,0,8
Engineering/machinery/energy,105,0,0,3,22,6,0,0,0,3
HR,18,0,0,0,5,8,0,0,0,0
Senior management,24,0,0,0,2,0,0,0,0,4
Logistics/warehousing,40,0,1,0,7,1,0,0,0,11
Art/graphics/Animation design,30,0,1,0,4,0,0,0,0,6
Legal profession/law,18,0,0,0,6,0,0,0,0,0
Hospital/medical/care,6,0,0,0,1,0,0,0,0,0
Counsel/consulting,95,0,0,0,5,0,0,0,0,10
Transportation service,8,0,0,0,0,0,0,0,0,5
Translation,1,0,0,0,0,1,0,0,0,0
Construction/infrastructure/gardening,82,0,0,2,11,2,0,0,0,5
Office administration/logistics,122,0,2,0,31,6,0,0,0,11
Customer service and technical support,105,0,0,0,12,0,0,0,0,5
Production/operation,151,0,1,0,2,2,0,0,0,3
QMS/safety/environmental protection,38,0,0,1,13,2,0,0,0,3
Technical work,483,7,0,8,3,0,0,0,0,37
Procurement,4,0,0,0,2,1,0,0,0,0
Trade,4,0,0,0,2,0,0,0,0,0
Biology/chemicals/pharmaceuticals/medical equipment,6,0,0,0,0,0,0,0,0,4
Advertising,10,0,0,0,3,0,0,0,0,0
Real property,67,0,0,1,3,0,0,0,0,0
Property management,3,0,0,0,0,0,0,0,0,3
Restaurants & recreation,11,0,0,0,0,0,0,0,0,2
Hotels/tourism,63,3,0,6,6,0,0,0,0,0
Beauty and personal care,30,1,1,0,0,0,0,0,0,0
General merchandise/chains/retail,32,0,0,0,1,0,0,0,0,2
Security/housekeeping/other,2,0,0,0,1,0,0,0,0,1
Graduates,105,0,0,0,11,0,0,0,0,0
Other,256,0,3,5,14,1,0,0,0,30
