Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
,1105,0,22,1,50,0,0,0,0,65
Computer software ,69,2,0,0,8,2,0,0,0,7
Sales management,1513,0,10,4,82,12,0,0,0,66
market/marketing,1377,2,17,13,61,6,0,0,0,36
Sales ,2380,2,37,10,95,5,0,0,0,117
Computer hardware,8,0,0,0,3,0,0,0,0,0
Internet development and application,195,0,0,3,11,1,1,0,0,26
IT-Management,19,0,0,0,4,1,0,0,0,4
"IT-QM, technical support and more",9,0,0,0,2,0,0,0,0,1
Communications technology,42,0,2,0,14,0,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,121,0,0,1,10,12,0,0,0,6
Finance/auditing/tax,173,2,2,10,66,3,0,0,0,4
Engineering/machinery/energy,477,4,2,14,23,12,0,0,0,22
HR,177,0,3,0,67,5,0,0,0,15
Senior management,11,0,0,0,3,2,0,0,0,4
Logistics/warehousing,162,1,11,4,15,1,0,0,0,17
Art/graphics/Animation design,173,0,0,15,14,0,0,0,0,27
Legal profession/law,10,0,0,0,0,0,0,0,0,5
Education,54,0,0,0,10,2,0,0,0,0
Hospital/medical/care,264,0,1,1,5,2,0,0,0,5
Counsel/consulting,173,0,4,4,3,0,0,0,0,1
Transportation service,37,2,5,0,1,0,0,0,0,7
Construction/infrastructure/gardening,141,4,0,0,34,0,0,0,0,2
Banking,40,0,0,0,0,4,0,0,0,0
Office administration/logistics,364,0,4,10,67,14,0,0,0,58
Customer service and technical support,707,0,21,1,21,1,0,0,0,7
Securities/finance/investment,36,0,0,0,4,0,0,0,0,0
Insurance,330,0,0,0,15,6,0,0,0,13
Production/operation,116,6,1,2,11,3,1,0,0,10
QMS/safety/environmental protection,67,0,0,8,10,3,0,0,0,4
Technical work,951,11,4,26,3,0,0,0,0,74
Procurement,13,0,0,2,3,1,0,0,0,0
Trade,82,0,0,0,7,3,0,0,0,0
Biology/chemicals/pharmaceuticals/medical equipment,121,0,0,0,6,5,1,0,0,42
Advertising,3,0,0,0,3,0,0,0,0,0
PRs and news media,4,0,0,0,2,0,0,0,0,0
"Movies, TV and recreation",61,0,0,6,1,1,0,0,0,0
Literature/screenwriting/writing,39,0,0,0,13,0,0,0,0,0
Real property,157,0,3,1,14,0,0,0,0,8
Property management,239,0,5,0,8,0,0,0,0,19
Restaurants & recreation,757,13,8,9,2,0,0,0,0,83
Hotels/tourism,28,0,4,0,3,0,0,0,0,3
Beauty and personal care,104,0,0,0,1,0,0,0,0,8
General merchandise/chains/retail,220,2,1,2,5,0,0,0,0,7
Security/housekeeping/other,116,2,0,0,1,0,0,0,0,25
Graduates,311,0,0,0,17,4,0,0,0,14
Other,241,3,4,0,60,8,0,0,0,27
