Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
,1904,0,37,3,102,5,0,0,0,59
Computer software ,286,0,0,0,29,8,0,0,0,1
Sales management,1400,2,23,12,124,9,0,0,0,120
market/marketing,1676,2,48,21,102,8,0,0,0,67
Sales ,5827,2,131,40,233,7,0,0,0,223
Computer hardware,22,0,0,0,3,2,0,0,0,0
Internet development and application,499,0,0,1,44,3,0,0,0,28
IT-Management,13,0,0,0,4,0,0,0,0,2
"IT-QM, technical support and more",62,0,0,0,15,0,0,0,0,4
Communications technology,103,2,10,0,8,0,0,0,0,6
Electronics/appliances/semiconductor/instrumentation,62,0,0,1,14,6,0,0,0,0
Finance/auditing/tax,326,3,1,8,126,9,0,0,0,29
Engineering/machinery/energy,464,1,4,2,31,4,0,0,0,4
HR,336,0,8,1,111,17,0,0,0,13
Senior management,51,0,0,2,9,9,0,0,0,2
Logistics/warehousing,480,4,23,4,25,2,0,0,0,38
Art/graphics/Animation design,209,0,0,14,25,0,0,0,0,24
Science & Technology,1,0,0,0,1,0,0,0,0,0
Education,397,0,0,4,27,42,0,0,0,2
Hospital/medical/care,86,0,0,0,18,0,0,0,0,2
Counsel/consulting,598,0,11,1,28,1,0,0,0,9
Transportation service,171,8,15,0,0,0,0,0,0,26
Construction/infrastructure/gardening,435,0,0,5,48,37,0,0,0,13
Banking,30,0,0,1,1,0,0,0,0,0
Office administration/logistics,928,2,22,38,168,13,0,0,0,104
Customer service and technical support,981,0,36,10,56,0,0,0,0,27
Securities/finance/investment,432,0,0,4,14,5,0,0,0,12
Insurance,416,0,0,0,56,8,0,0,0,4
Production/operation,331,2,9,16,27,1,0,0,0,6
QMS/safety/environmental protection,429,3,0,3,16,2,0,0,0,3
Technical work,1384,13,9,5,16,0,0,0,0,95
Procurement,36,1,4,1,8,2,0,0,0,0
Trade,134,0,0,0,8,2,0,0,0,0
Biology/chemicals/pharmaceuticals/medical equipment,50,0,0,0,1,6,2,0,0,1
Advertising,66,0,0,3,8,0,0,0,0,13
PRs and news media,4,0,0,0,2,0,0,0,0,0
"Movies, TV and recreation",6,0,0,0,2,0,0,0,0,2
Literature/screenwriting/writing,10,0,0,0,3,1,0,0,0,2
Real property,1168,0,8,1,37,4,0,0,0,48
Property management,416,4,9,8,62,0,0,0,0,13
Restaurants & recreation,1150,13,3,1,21,0,0,0,0,157
Hotels/tourism,2,0,0,0,1,0,0,0,0,0
Beauty and personal care,229,2,3,4,4,0,0,0,0,9
General merchandise/chains/retail,511,7,10,5,12,0,0,0,0,33
Security/housekeeping/other,140,0,2,0,0,0,0,0,0,32
Graduates,395,0,2,1,38,7,0,0,0,12
Other,1194,0,18,9,71,14,0,0,0,68
