Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
,576,0,0,6,26,2,0,0,0,44
Computer software ,47,0,0,0,9,2,0,0,0,1
Sales management,521,0,6,10,51,4,0,0,0,23
market/marketing,843,0,8,4,43,4,0,0,0,49
Sales ,2023,0,28,21,70,0,0,0,0,73
Computer hardware,4,0,0,0,1,0,0,0,0,0
Internet development and application,142,0,0,0,10,7,0,0,0,22
"IT-QM, technical support and more",5,0,0,0,4,0,0,0,0,0
Communications technology,30,0,0,0,13,0,0,0,0,0
Electronics/appliances/semiconductor/instrumentation,192,0,11,2,1,2,0,0,0,0
Finance/auditing/tax,120,0,0,5,43,9,0,0,0,18
Engineering/machinery/energy,300,2,5,0,18,8,0,0,0,23
HR,125,4,1,0,35,6,0,0,0,3
Senior management,9,0,0,0,1,2,0,0,0,6
Logistics/warehousing,167,4,4,8,10,2,0,0,0,16
Art/graphics/Animation design,169,0,0,11,19,0,0,0,0,13
Science & Technology,3,0,0,0,1,1,0,0,0,0
Legal profession/law,2,0,0,0,0,2,0,0,0,0
Education,19,0,0,0,1,2,1,0,0,0
Hospital/medical/care,12,0,0,0,1,2,0,0,0,0
Counsel/consulting,9,0,1,0,0,0,0,0,0,1
Transportation service,29,2,0,0,0,0,0,0,0,9
Construction/infrastructure/gardening,199,0,0,5,15,4,0,0,0,1
Office administration/logistics,356,1,8,2,35,1,0,0,0,42
Customer service and technical support,170,0,10,6,9,0,0,0,0,8
Securities/finance/investment,126,0,0,0,5,0,0,0,0,0
Production/operation,142,2,5,7,16,0,0,0,0,5
QMS/safety/environmental protection,79,0,0,5,6,3,0,0,0,11
Technical work,744,7,7,15,3,0,0,0,0,68
Fashion/textile/furs,5,0,0,0,0,0,0,0,0,1
Procurement,3,0,0,0,2,0,0,0,0,0
Biology/chemicals/pharmaceuticals/medical equipment,69,0,0,0,0,8,0,0,0,24
Advertising,4,0,0,0,1,2,0,0,0,0
PRs and news media,21,0,0,3,0,0,0,0,0,0
Literature/screenwriting/writing,38,0,0,0,12,0,0,0,0,2
Real property,152,0,1,3,7,0,0,0,0,0
Property management,26,1,0,0,1,0,0,0,0,7
Restaurants & recreation,429,0,1,0,0,0,0,0,0,62
Hotels/tourism,26,0,3,0,3,0,0,0,0,1
Beauty and personal care,24,1,1,0,1,0,0,0,0,0
General merchandise/chains/retail,415,0,8,1,7,0,0,0,0,15
Security/housekeeping/other,40,0,0,0,0,0,0,0,0,16
Graduates,188,0,0,0,10,1,0,0,0,2
Other,553,0,5,6,51,11,0,0,0,29
